Id,SalePrice
2,130131.97266053772
4,270879.4018964577
6,196771.30369958677
7,235787.57380207107
17,219408.1614659875
18,369997.19169793045
22,189626.0071702381
27,122218.18524758572
31,98707.5849647798
36,144922.84743399554
39,347968.08323899435
40,267394.29743294825
42,291749.5573556082
46,218130.65355644407
53,160340.01684779202
58,165440.2425805463
61,326589.2321482169
72,235935.67609388538
79,107849.74606138027
80,204587.63904134274
82,164119.14523195944
83,86654.25645467141
85,148568.65217213889
88,123555.16477530124
92,291535.4001950015
93,287248.52581038274
95,188037.49995203968
102,164577.6948701049
103,169893.96869076954
106,238927.9469349416
107,159632.10747673945
110,224208.51460799685
114,207459.23816447853
116,191694.5857801044
117,160859.31809857307
118,144537.1131925073
125,160218.98049511595
126,168366.59364048453
127,124862.8825576195
128,211750.91785933197
134,148338.09538428305
135,183666.5863651797
137,227158.22833690504
143,146188.7824297542
147,142061.2733343595
148,183735.00955162413
150,122111.17733942716
156,144775.81086700427
157,132317.73037378403
159,146860.45014439154
161,257084.42103077832
167,156593.35664598053
170,117771.39911445652
171,87262.53897443625
175,105636.63396257284
179,127447.30680356844
181,104156.77061260231
186,234217.11225289165
193,187427.73896838032
194,76779.67440422723
206,118463.85357457845
208,132204.45240118823
210,164839.25428470274
211,85092.45627451071
212,114810.35675742629
214,90949.136949979
215,132941.10844480555
217,144951.3909709311
222,147869.68734984272
227,155367.56828073817
228,159060.71712883626
233,243433.92967738124
235,139805.66087571075
238,140642.12350409923
241,160477.98554689705
252,185352.7345036735
253,189890.22594225497
256,144314.351833063
257,145437.47543151653
258,196592.9156523886
259,182286.42975424955
261,147745.90497971684
263,122452.00088293434
266,228070.32610089338
267,229008.98618029698
270,134111.22137509822
271,241227.5492363189
276,94194.46333025851
285,152968.27612680185
288,68128.10964680639
289,152316.891962877
290,120786.86683660044
291,164512.99311743793
292,110418.07228903062
293,182902.26808670364
294,227080.06313202297
295,191757.61023949235
304,126549.24438039857
322,338659.98687817896
326,171507.36545276357
327,97462.93204904326
328,140986.29448955206
331,75219.83309197628
332,79664.14608902133
333,98445.68159225523
335,153791.0905478598
337,180664.16770208377
342,128480.72481096287
343,177709.77614929035
347,173763.62159708265
350,340568.9948956745
352,216959.9845903529
358,191368.02782350982
359,176054.5292391878
360,154829.2721408108
368,336719.4566608742
369,273910.47398123547
373,188274.7991291791
377,247320.83178276572
383,184520.39956284556
386,227052.9787986903
387,231908.31685567857
390,171206.85464775772
391,145396.55348233538
395,154890.4877327953
397,134755.14857038055
398,123853.02890004056
401,126289.74535491773
404,125200.26941463852
408,118730.0565022803
409,134380.1197879081
410,145941.3766513472
418,119123.3182044889
422,403038.81999878515
427,364434.61003018054
431,398792.8877201716
433,447239.6773117305
437,335261.75708623126
438,280192.6457190422
442,339761.11760377453
447,227903.00952267257
459,319820.05996817775
460,250225.16271468453
464,189496.6774622025
465,172194.946591219
467,176280.82354316194
468,177985.28193436188
474,163738.4979565584
480,190615.23209828514
481,191919.18646039747
483,211631.23686291493
488,179897.36502905487
492,185879.89605345545
494,169723.13969378048
499,307592.5884002859
500,264025.42689959804
501,295534.3224186123
503,245097.37615947152
506,232610.9207158746
508,271640.9354989442
511,289547.2569712115
515,242757.6429134637
519,237776.82472822117
521,293591.933971838
530,232849.3462551474
532,221565.77394385898
534,188135.34008576558
540,169136.22369857246
541,125702.28733970536
551,159437.03908222617
552,176808.58250745165
554,80459.8597367527
555,117204.83220563846
556,135252.76716321366
557,126903.63685781485
565,231137.30180723386
566,274020.98505771405
567,161278.39736204772
569,218919.2002299236
570,194650.5650415223
574,208600.28711159888
575,307091.95995267684
576,209260.79044542267
577,218779.23470657688
578,249515.65326807898
583,229000.72209870163
584,235028.84000859928
585,167114.6717062359
587,181037.04619762534
593,221813.49743772158
597,222019.60520552227
598,166634.0921659687
599,172154.53420451368
600,131419.8548864313
605,153456.59992667555
607,165622.52719838358
608,175652.26798703542
611,184188.3433351613
616,109981.64842683355
625,175997.157111756
629,158460.10553289315
630,123761.1194547689
631,145094.69483691338
640,195889.53533613568
642,148893.47386587327
643,135088.6286667272
646,119304.17873403404
647,170741.273841365
655,90821.29346374256
659,105800.33430996489
663,63257.39659852022
665,100103.65837549938
667,209936.58616691508
673,163083.43842754292
676,138366.24965358622
680,141445.979982533
682,140198.60599441908
687,149773.2230628145
688,156715.1925234017
692,122092.97483156717
693,109363.47036306662
695,144975.2376331939
697,117914.23592152647
700,125807.55047298505
702,134691.7098400299
703,150652.17961617326
704,101718.20834071991
712,97046.76890210797
713,96250.32123749322
717,221308.91606940932
720,189433.01613162452
721,59153.38936749709
726,153144.7622022462
733,105437.53947507592
736,130906.21113051043
738,90718.42326192638
741,127908.97686669473
743,49015.07751335949
745,102967.47495732836
750,154038.45178776397
756,99447.56753310162
757,119547.519647632
758,119681.8312109069
760,90304.88988792598
765,152064.46238233475
775,124700.3281478387
776,130386.51093299667
780,149391.89781879616
783,237581.22745447338
